locus_id,population,ra,dec,n_det,num_mag_values,num_alerts,timespan_d,brightest_mag,n_distinct_ssname,frac_det_ssname,mag_minus_ssmagnr,ndethist_med,distnr_med_as,hist_span_d,stellar_cats,galaxy_cats,var_cats,tags,verdict,reason
ANT20222ko6002pughw,state_file,346.9973,-3.21943,2,2,27,1339.2,18.15,2,1.0,0.29,1.5,11.05,670.0,,,,lc_feature_extractor;refitt_newsources_snrcut;sso_candidates;sso_confirmed,SSO_BLEND,2 different asteroid designations merged into one locus
ANT20222qcpy6w8p1xl,state_file,330.59474,-8.42511,2,2,22,1342.1,18.94,2,1.0,0.28,1.5,6.07,671.0,,,,lc_feature_extractor;refitt_newsources_snrcut;sso_candidates;sso_confirmed,SSO_BLEND,2 different asteroid designations merged into one locus
ANT2021gd4nc,state_file,211.01672,-4.40008,2,2,59,1928.7,19.17,2,1.0,0.24,1.5,2.18,964.0,,,,lc_feature_extractor;refitt_newsources_snrcut;sso_candidates;sso_confirmed,SSO_BLEND,2 different asteroid designations merged into one locus
ANT20229da585kudl0b,state_file,303.27478,-23.09175,3,3,21,1330.3,18.19,2,1.0,0.4,2,6.64,0.0,bright_guide_star_cat,,,lc_feature_extractor;refitt_newsources_snrcut;sso_candidates;sso_confirmed,SSO_BLEND,2 different asteroid designations merged into one locus
ANT2021fyoxy,state_file,205.0807,-10.90687,2,2,57,1938.8,19.17,2,1.0,0.19,1.5,5.3,969.0,,,,lc_feature_extractor;refitt_newsources_snrcut;sso_candidates;sso_confirmed;young_extragalactic_candidate,SSO_BLEND,2 different asteroid designations merged into one locus
ANT2021f4o6e,state_file,207.6254,-5.83988,2,2,67,1938.8,18.01,2,1.0,0.28,1.5,7.69,969.0,,,,lc_feature_extractor;refitt_newsources_snrcut;sso_candidates;sso_confirmed,SSO_BLEND,2 different asteroid designations merged into one locus
ANT2022i7cpa80mcmwr,state_file,327.71867,-5.69003,4,4,52,1347.2,19.14,2,1.0,0.26,2,5.25,1347.0,,,,lc_feature_extractor;refitt_newsources_snrcut;sso_candidates;sso_confirmed,SSO_BLEND,2 different asteroid designations merged into one locus
ANT2022xz7xvnhyyti0,state_file,305.54782,-23.08967,2,2,44,1363.2,17.77,2,1.0,0.17,1.5,14.43,682.0,,,,lc_feature_extractor;refitt_newsources_snrcut;sso_candidates;sso_confirmed,SSO_BLEND,2 different asteroid designations merged into one locus
ANT2021gx4fu,state_file,222.06115,-9.44588,2,2,65,1940.8,18.59,2,1.0,0.54,1.5,4.3,970.0,,,,lc_feature_extractor;refitt_newsources_snrcut;sso_candidates;sso_confirmed,SSO_BLEND,2 different asteroid designations merged into one locus
ANT2022yrh2cy1nnbe2,state_file,328.86834,-13.39404,3,3,76,1362.2,19.38,2,1.0,0.02,2.5,6.52,681.0,,,,lc_feature_extractor;refitt_newsources_snrcut;sso_candidates;sso_confirmed,SSO_BLEND,2 different asteroid designations merged into one locus
ANT2021fnl4w,state_file,204.96448,2.43115,2,2,73,1950.8,18.29,2,1.0,0.37,1.5,7.39,975.0,,,,lc_feature_extractor;refitt_newsources_snrcut;sso_candidates;sso_confirmed,SSO_BLEND,2 different asteroid designations merged into one locus
ANT20228m95zpdzy2xn,state_file,327.01175,-12.75415,3,3,46,1341.3,18.07,2,1.0,0.33,2.0,11.11,671.0,,,,lc_feature_extractor;refitt_newsources_snrcut;sso_candidates;sso_confirmed,SSO_BLEND,2 different asteroid designations merged into one locus
ANT20222lxdbe85q7mb,state_file,325.46915,-12.38866,2,2,55,1337.2,18.28,2,1.0,0.36,1.5,9.17,669.0,,,,lc_feature_extractor;refitt_newsources_snrcut;sso_candidates;sso_confirmed,SSO_BLEND,2 different asteroid designations merged into one locus
ANT2022tqpr9l0z1ki5,state_file,332.88116,-6.31184,3,3,76,1362.2,18.54,2,1.0,0.46,2,9.76,1362.0,,,,lc_feature_extractor;refitt_newsources_snrcut;sso_candidates,SSO_BLEND,2 different asteroid designations merged into one locus
